run_id,kernel,dtype,m,k,n,block_size,threads,rep,iters,time_ns,gflops
20260924-211248,reference,double,496,496,496,,1,0,1,111232854,2.1940
20260924-211248,reference,double,496,496,496,,1,1,1,117543644,2.0762
20260924-211248,reference,double,496,496,496,,1,2,1,113844484,2.1437
20260924-211248,reference,double,496,496,496,,1,3,1,111693739,2.1850
20260924-211248,reference,double,496,496,496,,1,4,1,107974739,2.2602
20260924-211248,reference,double,496,496,496,,1,5,1,112139968,2.1763
20260924-211248,reference,double,496,496,496,,1,6,1,108064541,2.2584
20260924-211248,reference,double,500,500,500,,1,0,1,83052937,3.0101
20260924-211248,reference,double,500,500,500,,1,1,1,87765930,2.8485
20260924-211248,reference,double,500,500,500,,1,2,1,91301640,2.7382
20260924-211248,reference,double,500,500,500,,1,3,1,86304939,2.8967
20260924-211248,reference,double,500,500,500,,1,4,1,83213863,3.0043
20260924-211248,reference,double,500,500,500,,1,5,1,81042103,3.0848
20260924-211248,reference,double,500,500,500,,1,6,1,81076344,3.0835
20260924-211248,reference,double,504,504,504,,1,0,1,89207962,2.8702
20260924-211248,reference,double,504,504,504,,1,1,1,89658503,2.8558
20260924-211248,reference,double,504,504,504,,1,2,1,90702535,2.8229
20260924-211248,reference,double,504,504,504,,1,3,1,88563936,2.8911
20260924-211248,reference,double,504,504,504,,1,4,1,92279365,2.7747
20260924-211248,reference,double,504,504,504,,1,5,1,91736447,2.7911
20260924-211248,reference,double,504,504,504,,1,6,1,91684401,2.7927
20260924-211248,reference,double,508,508,508,,1,0,1,88847388,2.9510
20260924-211248,reference,double,508,508,508,,1,1,1,84581609,3.0999
20260924-211248,reference,double,508,508,508,,1,2,1,84975895,3.0855
20260924-211248,reference,double,508,508,508,,1,3,1,86997921,3.0138
20260924-211248,reference,double,508,508,508,,1,4,1,83972126,3.1224
20260924-211248,reference,double,508,508,508,,1,5,1,83482550,3.1407
20260924-211248,reference,double,508,508,508,,1,6,1,86442282,3.0332
20260924-211248,reference,double,511,511,511,,1,0,1,89164850,2.9929
20260924-211248,reference,double,511,511,511,,1,1,1,87557270,3.0479
20260924-211248,reference,double,511,511,511,,1,2,1,83784311,3.1852
20260924-211248,reference,double,511,511,511,,1,3,1,82939465,3.2176
20260924-211248,reference,double,511,511,511,,1,4,1,82621069,3.2300
20260924-211248,reference,double,511,511,511,,1,5,1,82601385,3.2308
20260924-211248,reference,double,511,511,511,,1,6,1,85362064,3.1263
20260924-211248,reference,double,512,512,512,,1,0,1,388332357,0.6913
20260924-211248,reference,double,512,512,512,,1,1,1,397083521,0.6760
20260924-211248,reference,double,512,512,512,,1,2,1,387582776,0.6926
20260924-211248,reference,double,512,512,512,,1,3,1,399212840,0.6724
20260924-211248,reference,double,512,512,512,,1,4,1,419760421,0.6395
20260924-211248,reference,double,512,512,512,,1,5,1,406603128,0.6602
20260924-211248,reference,double,512,512,512,,1,6,1,400414970,0.6704
20260924-211248,reference,double,513,513,513,,1,0,1,89986487,3.0006
20260924-211248,reference,double,513,513,513,,1,1,1,90508896,2.9833
20260924-211248,reference,double,513,513,513,,1,2,1,89899913,3.0035
20260924-211248,reference,double,513,513,513,,1,3,1,90346796,2.9886
20260924-211248,reference,double,513,513,513,,1,4,1,92671464,2.9136
20260924-211248,reference,double,513,513,513,,1,5,1,99256809,2.7203
20260924-211248,reference,double,513,513,513,,1,6,1,91760358,2.9426
20260924-211248,reference,double,516,516,516,,1,0,1,93881307,2.9268
20260924-211248,reference,double,516,516,516,,1,1,1,98596686,2.7869
20260924-211248,reference,double,516,516,516,,1,2,1,97308262,2.8238
20260924-211248,reference,double,516,516,516,,1,3,1,92356673,2.9752
20260924-211248,reference,double,516,516,516,,1,4,1,96159403,2.8575
20260924-211248,reference,double,516,516,516,,1,5,1,91782171,2.9938
20260924-211248,reference,double,516,516,516,,1,6,1,92176906,2.9810
20260924-211248,reference,double,520,520,520,,1,0,1,99058848,2.8389
20260924-211248,reference,double,520,520,520,,1,1,1,99254379,2.8333
20260924-211248,reference,double,520,520,520,,1,2,1,109584401,2.5662
20260924-211248,reference,double,520,520,520,,1,3,1,108875251,2.5829
20260924-211248,reference,double,520,520,520,,1,4,1,107945468,2.6052
20260924-211248,reference,double,520,520,520,,1,5,1,103196201,2.7251
20260924-211248,reference,double,520,520,520,,1,6,1,102687221,2.7386
20260924-211248,reference,double,528,528,528,,1,0,1,137336555,2.1436
20260924-211248,reference,double,528,528,528,,1,1,1,146146273,2.0144
20260924-211248,reference,double,528,528,528,,1,2,1,133292523,2.2086
20260924-211248,reference,double,528,528,528,,1,3,1,139341094,2.1128
20260924-211248,reference,double,528,528,528,,1,4,1,147154633,2.0006
20260924-211248,reference,double,528,528,528,,1,5,1,138187307,2.1304
20260924-211248,reference,double,528,528,528,,1,6,1,139588816,2.1090
