run_id,kernel,dtype,m,k,n,block_size,threads,rep,iters,time_ns,gflops
20260924-212257,reference,float,1000,1000,1000,,1,0,1,471232386,4.2442
20260924-212257,reference,float,1000,1000,1000,,1,1,1,474238844,4.2173
20260924-212257,reference,float,1000,1000,1000,,1,2,1,478549915,4.1793
20260924-212257,reference,float,1000,1000,1000,,1,3,1,475776591,4.2037
20260924-212257,reference,float,1000,1000,1000,,1,4,1,477940592,4.1846
20260924-212257,reference,float,1000,1000,1000,,1,5,1,477052100,4.1924
20260924-212257,reference,float,1000,1000,1000,,1,6,1,493252261,4.0547
20260924-212257,reference,float,1016,1016,1016,,1,0,1,507844444,4.1303
20260924-212257,reference,float,1016,1016,1016,,1,1,1,534030066,3.9278
20260924-212257,reference,float,1016,1016,1016,,1,2,1,506212716,4.1436
20260924-212257,reference,float,1016,1016,1016,,1,3,1,511033133,4.1045
20260924-212257,reference,float,1016,1016,1016,,1,4,1,501992865,4.1784
20260924-212257,reference,float,1016,1016,1016,,1,5,1,529404799,3.9621
20260924-212257,reference,float,1016,1016,1016,,1,6,1,509818796,4.1143
20260924-212257,reference,float,1023,1023,1023,,1,0,1,514260384,4.1636
20260924-212257,reference,float,1023,1023,1023,,1,1,1,519271967,4.1235
20260924-212257,reference,float,1023,1023,1023,,1,2,1,512896706,4.1747
20260924-212257,reference,float,1023,1023,1023,,1,3,1,490602162,4.3644
20260924-212257,reference,float,1023,1023,1023,,1,4,1,514942025,4.1581
20260924-212257,reference,float,1023,1023,1023,,1,5,1,499810012,4.2840
20260924-212257,reference,float,1023,1023,1023,,1,6,1,507496645,4.2191
20260924-212257,reference,float,1024,1024,1024,,1,0,1,2733137604,0.7857
20260924-212257,reference,float,1024,1024,1024,,1,1,1,2711345414,0.7920
20260924-212257,reference,float,1024,1024,1024,,1,2,1,2674754645,0.8029
20260924-212257,reference,float,1024,1024,1024,,1,3,1,2775436359,0.7737
20260924-212257,reference,float,1024,1024,1024,,1,4,1,2726205929,0.7877
20260924-212257,reference,float,1024,1024,1024,,1,5,1,2760013733,0.7781
20260924-212257,reference,float,1024,1024,1024,,1,6,1,2669590866,0.8044
20260924-212257,reference,float,1025,1025,1025,,1,0,1,549346760,3.9206
20260924-212257,reference,float,1025,1025,1025,,1,1,1,500667613,4.3018
20260924-212257,reference,float,1025,1025,1025,,1,2,1,505919902,4.2572
20260924-212257,reference,float,1025,1025,1025,,1,3,1,489877246,4.3966
20260924-212257,reference,float,1025,1025,1025,,1,4,1,499183949,4.3146
20260924-212257,reference,float,1025,1025,1025,,1,5,1,491177414,4.3849
20260924-212257,reference,float,1025,1025,1025,,1,6,1,488223996,4.4115
20260924-212257,reference,float,1032,1032,1032,,1,0,1,527103024,4.1704
20260924-212257,reference,float,1032,1032,1032,,1,1,1,533353077,4.1215
20260924-212257,reference,float,1032,1032,1032,,1,2,1,555810687,3.9550
20260924-212257,reference,float,1032,1032,1032,,1,3,1,551381914,3.9867
20260924-212257,reference,float,1032,1032,1032,,1,4,1,538674500,4.0808
20260924-212257,reference,float,1032,1032,1032,,1,5,1,545192007,4.0320
20260924-212257,reference,float,1032,1032,1032,,1,6,1,545838135,4.0272
20260924-212257,reference,float,1040,1040,1040,,1,0,1,563740779,3.9907
20260924-212257,reference,float,1040,1040,1040,,1,1,1,563408549,3.9931
20260924-212257,reference,float,1040,1040,1040,,1,2,1,555534431,4.0497
20260924-212257,reference,float,1040,1040,1040,,1,3,1,559825902,4.0186
20260924-212257,reference,float,1040,1040,1040,,1,4,1,555412716,4.0506
20260924-212257,reference,float,1040,1040,1040,,1,5,1,552175344,4.0743
20260924-212257,reference,float,1040,1040,1040,,1,6,1,546790039,4.1144
