run_id,kernel,dtype,m,k,n,block_size,threads,rep,iters,time_ns,gflops
20260924-211259,reference,float,1000,1000,1000,,1,0,1,744207358,2.6874
20260924-211259,reference,float,1000,1000,1000,,1,1,1,728121519,2.7468
20260924-211259,reference,float,1000,1000,1000,,1,2,1,722994699,2.7663
20260924-211259,reference,float,1000,1000,1000,,1,3,1,722770177,2.7671
20260924-211259,reference,float,1000,1000,1000,,1,4,1,686130720,2.9149
20260924-211259,reference,float,1000,1000,1000,,1,5,1,685503831,2.9176
20260924-211259,reference,float,1000,1000,1000,,1,6,1,682477452,2.9305
20260924-211259,reference,float,1016,1016,1016,,1,0,1,731303889,2.8682
20260924-211259,reference,float,1016,1016,1016,,1,1,1,746784647,2.8088
20260924-211259,reference,float,1016,1016,1016,,1,2,1,765908257,2.7386
20260924-211259,reference,float,1016,1016,1016,,1,3,1,747701641,2.8053
20260924-211259,reference,float,1016,1016,1016,,1,4,1,763558109,2.7471
20260924-211259,reference,float,1016,1016,1016,,1,5,1,771475731,2.7189
20260924-211259,reference,float,1016,1016,1016,,1,6,1,717385869,2.9239
20260924-211259,reference,float,1023,1023,1023,,1,0,1,696142689,3.0758
20260924-211259,reference,float,1023,1023,1023,,1,1,1,694368243,3.0837
20260924-211259,reference,float,1023,1023,1023,,1,2,1,696938493,3.0723
20260924-211259,reference,float,1023,1023,1023,,1,3,1,691429103,3.0968
20260924-211259,reference,float,1023,1023,1023,,1,4,1,694177741,3.0845
20260924-211259,reference,float,1023,1023,1023,,1,5,1,701034020,3.0543
20260924-211259,reference,float,1023,1023,1023,,1,6,1,697951250,3.0678
20260924-211259,reference,float,1024,1024,1024,,1,0,1,3869508270,0.5550
20260924-211259,reference,float,1024,1024,1024,,1,1,1,3852029132,0.5575
20260924-211259,reference,float,1024,1024,1024,,1,2,1,3772345294,0.5693
20260924-211259,reference,float,1024,1024,1024,,1,3,1,3814156732,0.5630
20260924-211259,reference,float,1024,1024,1024,,1,4,1,3782384141,0.5678
20260924-211259,reference,float,1024,1024,1024,,1,5,1,4313242405,0.4979
20260924-211259,reference,float,1024,1024,1024,,1,6,1,4256516039,0.5045
20260924-211259,reference,float,1025,1025,1025,,1,0,1,905027671,2.3798
20260924-211259,reference,float,1025,1025,1025,,1,1,1,926493751,2.3247
20260924-211259,reference,float,1025,1025,1025,,1,2,1,944874630,2.2794
20260924-211259,reference,float,1025,1025,1025,,1,3,1,928020343,2.3208
20260924-211259,reference,float,1025,1025,1025,,1,4,1,929464785,2.3172
20260924-211259,reference,float,1025,1025,1025,,1,5,1,944160280,2.2812
20260924-211259,reference,float,1025,1025,1025,,1,6,1,925443050,2.3273
20260924-211259,reference,float,1032,1032,1032,,1,0,1,861926304,2.5503
20260924-211259,reference,float,1032,1032,1032,,1,1,1,849580151,2.5874
20260924-211259,reference,float,1032,1032,1032,,1,2,1,853121486,2.5767
20260924-211259,reference,float,1032,1032,1032,,1,3,1,854748919,2.5718
20260924-211259,reference,float,1032,1032,1032,,1,4,1,880585004,2.4963
20260924-211259,reference,float,1032,1032,1032,,1,5,1,888277790,2.4747
20260924-211259,reference,float,1032,1032,1032,,1,6,1,898304839,2.4471
20260924-211259,reference,float,1040,1040,1040,,1,0,1,900847187,2.4973
20260924-211259,reference,float,1040,1040,1040,,1,1,1,854214935,2.6337
20260924-211259,reference,float,1040,1040,1040,,1,2,1,859991592,2.6160
20260924-211259,reference,float,1040,1040,1040,,1,3,1,844763956,2.6631
20260924-211259,reference,float,1040,1040,1040,,1,4,1,856332119,2.6272
20260924-211259,reference,float,1040,1040,1040,,1,5,1,863592162,2.6051
20260924-211259,reference,float,1040,1040,1040,,1,6,1,869119787,2.5885
